Date,Location,Group,question_number,Question_text,Answer_Likert,Open-ended
11/1/2023,Santa Marta,3,5,5.     La presencia de pequeños focos de Foc-R4T en áreas remotas impide que sean identificados y contenidos,De acuerdo,"Porque se tienen muchos factores asociados, entre los cuales se destacan:
Desconocimiento por parte de algunos productores para identificar enfermedades.
Las medidas de intervensión y sensibilización por parte de los organismos de control.
Falta de estratageias sociales para compartir información y capacitación.
Falta de valoración real del riesgo asociado apor parte del productor."
11/1/2023,Santa Marta,3,6,"6.     Foc-R4T puede ser transportado por el agua, lo que lleva a la contaminación de las áreas aguas abajo",Muy de acuerdo,"Se debe a varios factores al momento de identificar el proceso de infestación. 1) Diferentes sistemas de riego y fuentes de obtención; 2) En el Magdalena, algunas fincas utilizan las aguas de drenajes de otras fincas para realizar las labores de riego; 3) Es común que durante las épocas de fuertes precipitaciones se inunden extensas áreas, coincidiendo áreas afectadas y no afectada. "
11/1/2023,Santa Marta,3,7,"7.     El movimiento de material vegetal infectado, como plántulas o cormos, por parte de los seres humanos puede propagar Foc-R4T",Muy de acuerdo,"Es considerada una activdidad de alto riesgo, que se genera por desconocimiento y voluntad propia de quien la transporta"
11/1/2023,Santa Marta,3,8,8.     El comercio internacional de plantas y partes de plantas de banano y plátano puede facilitar la difusión a larga distancia de Foc-R4T,Muy en desacuerdo,"Puesto que el material vegetal que ingresa al país aunque debe provenir de paises libres del patógeno, puede pasar por procesos de triangulación en los que se borre el origen real. Adicionalmente, el comercio de artesanias y de fruta con hojas como protector de la calidad de la fruta se convierte en un posible factor de dispersión al portar el patógeno"
11/1/2023,Santa Marta,3,9,9.     Las regulaciones de cuarentena débiles o ineficaces pueden permitir la diseminación de Foc-R4T,Muy de acuerdo,Por que existen vacios legales en las normas que en algunos casos son usadas como justificacion para evitar su cumplimiento
11/1/2023,Santa Marta,3,10,10.     Ciertos insectos pueden contribuir a la transmisión de Foc-R4T,Muy de acuerdo,Se ha demostrado que insectos como el picudo puede transmitir estructuras del hongo su exoesqueleto
11/1/2023,Santa Marta,3,11,"11.     La mala implementación de medidas de bioseguridad, la eliminación inadecuada de las plantas y el manejo deficiente de las plantaciones  pueden aumentar el riesgo de propagación de Foc-R4T.",Muy de acuerdo,"No aplicar protocolos de desinfeccion de herramientas y calzado, ademas de transportar materiales vegetales, suelo o herramientas contaminados, se convierten en elementos de dispersion del patogeno; Ademas que se han identificado condiciones presdisponentes en el suelo que se pudieran manejar desde el programa de asistencia tecnica que se realiza en las plantaciones"
11/1/2023,Santa Marta,3,12,12.     El tráfico humano hacia y desde las regiones infectadas puede introducir inadvertidamente Foc-R4T a nuevas áreas.,Muy de acuerdo,"Si, en los distintos contextos culturales no se tienen en cuenta el riesgo asociado a transitar por zonas de plantaciones que se encuentran infectados, el movimiento de suelo adherido a vehiculos, transporte animal y calzado es una de las consecuencias"
11/1/2023,Santa Marta,3,13,13.     El monitoreo inadecuado puede retrasar la detección y futura contención del Foc-R4T,De acuerdo,"En la medida en que no se implementen las acciones de verificación de manera oportuna, no se apliquen los protocolos contemplados en la contencion, se estaría diseminando la enfermedad en campo"
11/1/2023,Santa Marta,3,14,14.     : Las propiedades químicas del suelo son factores que afectan el desarrollo de epidemias de  Foc-R4T - Muy en desacuerdo.,Muy de acuerdo,"La diversidad de suelo, sus caracteristicas fisicoquimicas y biologicas son considerados factores predisponentes, condiciones que fueron evaluadas por AGROSAVIA en el ultimo año. Indicadores a la baja como: calcio, magnesio, fosforo, pH, disponibilidad de MO y la conductividad hidraulica son factores que coayudan a la estabilización y proliferación del patógeno o a la suseptibilidad de la planta"
11/1/2023,Santa Marta,3,15,15.     La biota del suelo son factores que afectan el desarrollo de epidemias de Foc-R4T ,Muy de acuerdo,"Algunas practicas agricolas dentro de esta cadena productora, afecta el valance de la micro y macro fauna del suelo, lo que ocasiona un disminución de organizmos que tiene las condiones de competir por espacio y nutrientes frente al patógeno'"
11/1/2023,Santa Marta,3,16,16.     La temperatura es n factor que afectan el desarrollo de epidemias de Foc-R4T ,Muy de acuerdo,"Es una variable que manera directa genera una condición de estres a la planta, haciendola suceptible a la ingreso del patógeno y al desaroolllo de la enfermedad"
11/1/2023,Santa Marta,3,17,17.     Las tormentas presentan un efecto de riesgo asociado a la dispersión de Foc-R4T ,Muy de acuerdo,"Por que las tormetas estan asociadas a las fuertes lluvias,ocasionado escorrentia y facilitando el moviemitno de particulas del micrrotganismo. Tambien ocasionna estres hidrico, que se refleja en el ahogamiento de la planta. "
11/1/2023,Santa Marta,3,18,18.     El viento presenta un efecto de riesgo asociado a la dispersión de Foc-R4T ,De acuerdo,"Es un factor en de riesgo dependiendo del esenario que se presente, el cual esta asociado al nivel de desocmposion de la planta infectada, de la epoca y las condiciones geograficas"
11/1/2023,Santa Marta,3,19,19.     La precipitación es un factor de riesgo en epidemias de Foc R4T,Muy de acuerdo,"Si, en excaso de agua y las condiciones del cultivo que presenten acumulacion de agua son riesgosas para aumentar el riesgo de infección del cultivo"
11/1/2023,Santa Marta,3,20,20.     Conexión de redes de drenaje entre lotes y cultivos de banano es un factor de riesgo en epidemias de  Foc R4T,Muy de acuerdo,Se debe tener especial cuidado con la conexion de los drenajes ya que muchas de las formas de diseminación son por el movimiento de particulas disueltas en el agua que se utiliza en el riego y al almacenaje para las distintas actividades que se utilizan en el predio
11/1/2023,Santa Marta,3,21,21.      Otros hospederos son un factor de riesgo en epidemias Foc R4T ,Muy de acuerdo,"Las arvenses presentan una participación importante como hospederos alternos para el hongo, se deben reconocer las distintas especies que son hospederas asintomaticas que se tienen referenciadas en otros paises en el pais para determinar el potencial de infestación"
11/1/2023,Santa Marta,3,22,22.     El cambio climático es un factor de riesgo en epidemias Foc R4T ,Muy de acuerdo,"EL cambio climatico hace que las plantas presenten predisposicion a enfermedades al alterar las condiciones normales del cultivo, como los eventos extramos de sequía, altas precipitaciones, altas velocidades de vientos y alteracion del ciclo vital de las plagas al reducir la duracion del periodo de incubacion de sus crias"
11/1/2023,Santa Marta,3,23,23.     Las propiedades físicas del suelo son factores que afectan el desarrollo de epidemias de  Foc-R4T,Muy de acuerdo,"Entre las que destacan la textura, conductividad hidráulica, posoridad, profundidad efectiva, etc. Las cuales hacen que tan suceptible dependiendo de las condiciones en que se encuentre la plantas y la superficie de contacto que esta contenga"
11/3/2023,Pereira,4,1,"1.	El movimiento de suelo contaminado es un factor de riesgo para introducir Foc-R4T a nuevas Ã¡reas",Muy de acuerdo,Alto ya que el suelo es critico y fundamental para cualquier produccion
11/3/2023,Pereira,4,2,"2.	El movimiento de plantas contaminadas (material vegetal de siembra o residuos de cultivos) es un factor de riesgo para introducir Foc-R4T a nuevas Ã¡reas.",Muy de acuerdo,Alto 
11/3/2023,Pereira,4,3,"3.	Plantas asintomÃ¡ticas dentro del cultivo son un factor de riesgo como fuente de inÃ³culo de Foc-R4T",Muy de acuerdo,Alto ya que puedo ser foco de dispersion de la enfermedad dentro del cultivo.
11/3/2023,Pereira,4,4,"4.	Movimiento de equipos agrÃ­colas contaminados (herramientas, vehÃ­culos, equipos, etc...) son factores que pueden diseminar Foc-R4T",Muy de acuerdo,Alto ya que si no se realiza una adecuada desinfeccion de las herramientas utilizadas en la labor diaria del cultivo seria fuente de contaminacion cruzada.
11/3/2023,Pereira,4,5,"5.	La presencia de pequeÃ±os focos de Foc-R4T en Ã¡reas remotas impide que sean identificados y contenidos",Muy de acuerdo,Alto ya que si no existe como poder llegar ellos dificilmente se realizaria un control 
11/3/2023,Pereira,4,6,"6.	Foc-R4T puede ser transportado por el agua, lo que lleva a la contaminaciÃ³n de las Ã¡reas aguas abajo",Muy de acuerdo,"Alto se debe tener un control en el manejo de la desinfeccion del material, evitando la contaminacion del agua "
11/3/2023,Pereira,4,7,"7.	El movimiento de material vegetal infectado, como plÃ¡ntulas o cormos, por parte de los seres humanos puede propagar Foc-R4T",Muy de acuerdo,Alto ya que se realizaria contaminacion cruzada 
11/3/2023,Pereira,4,8,"8.	El comercio internacional de plantas y partes de plantas de banano y plÃ¡tano puede facilitar la difusiÃ³n a larga distancia de Foc-R4T",Muy de acuerdo,"Alto, ya que si no existe un control y vigilancia para entrada del material vegetal, existe el riesgo de una proliferacion de la enfermedad "
11/3/2023,Pereira,4,9,"9.	Las regulaciones de cuarentena dÃ©biles o ineficaces pueden permitir la diseminaciÃ³n de Foc-R4T",Muy de acuerdo,Alto por que no existe una buena vigilancia y control de este
11/3/2023,Pereira,4,10,"10.	Ciertos insectos pueden contribuir a la transmisiÃ³n de Foc-R4T",Muy de acuerdo,Alto ya que el picudo puede ser un vector de infeccion para la planta 
11/3/2023,Pereira,4,11,"11.	La mala implementaciÃ³n de medidas de bioseguridad, la eliminaciÃ³n inadecuada de las plantas y el manejo deficiente de las plantaciones  pueden aumentar el riesgo de propagaciÃ³n de Foc-R4T",Muy de acuerdo,"Alto, ya que una mala fertilizacion hace que sea mas facil de contraer la enfermedad la planta "
11/3/2023,Pereira,4,12,"12.	El trÃ¡fico humano hacia y desde las regiones infectadas puede introducir inadvertidamente Foc-R4T a nuevas Ã¡reas",Muy de acuerdo,"Alto, por la contaminacion cruzada por medio de calzado, vehiculos y demas"
11/3/2023,Pereira,4,13,"13.	El monitoreo inadecuado puede retrasar la detecciÃ³n y futura contenciÃ³n del Foc-R4T",Muy de acuerdo,"Alto ya que se debe hacer un buen monitoreo y reporte del
Informe arrojado para mayor control "
11/3/2023,Pereira,4,14,14. Las propiedades quÃ­micas del suelo son factores que afectan el desarrollo de epidemias de  Foc-R4T,De acuerdo,Alto ya que los suelos acidos y mal fortalecidos son mas debiles a contraer la enfermedad 
11/3/2023,Pereira,4,15,"15.	La biota del suelo es un factor que afecta el desarrollo de epidemias de Foc-R4T",De acuerdo,El desequilibrio de la biota del suelo es un factor de riesgo para contraer la enfermedad con facilidad 
11/3/2023,Pereira,4,16,"16.	La temperatura en un factor que afectan el desarrollo de epidemias de Foc-R4T",Muy de acuerdo,"Alto, ya que altas temperaturas puede ser detonante de dispersion"
11/3/2023,Pereira,4,17,"17.	Las tormentas representan un riesgo asociado a la dispersiÃ³n de Foc-R4T",Muy de acuerdo,Alto ya que existe una dispersion por medio del agua y la lluvia 
11/3/2023,Pereira,4,18,"18.	El viento presenta un efecto de riesgo asociado a la dispersiÃ³n de Foc-R4T",Muy de acuerdo,"Alto, ya que es un dispersor de la enfermedad "
11/3/2023,Pereira,4,19,"19.	La precipitaciÃ³n es un factor de riesgo en epidemias de Foc R4T",Muy de acuerdo,Alto ya que la lluvia puede ser un detonante para la propagacion de la enfermedad 
11/3/2023,Pereira,4,20,"20.	ConexiÃ³n de redes de drenaje entre lotes y cultivos de banano es un factor de riesgo en epidemias de  Foc R4T",Ni de acuerdo ni en desacuerdo,Bajo ya que no contamos con drenajes de evacuacion 
11/3/2023,Pereira,4,21,"21.	 Otros hospederos son un factor de riesgo en epidemias Foc R4T",Muy de acuerdo,Alto 
11/3/2023,Pereira,4,22,"22.	El cambio climÃ¡tico es un factor de riesgo en epidemias Foc R4T",Muy de acuerdo,Alto
11/3/2023,Pereira,4,23,23. Las propiedades fÃ­sicas del suelo son factores que afectan el desarrollo de epidemias de  Foc-R4T,Muy de acuerdo,Alto 
11/3/2023,Pereira,5,1,"1.	El movimiento de suelo contaminado es un factor de riesgo para introducir Foc-R4T a nuevas Ã¡reas",Muy de acuerdo,"Es UN factor de riesgo importante entre otros por El relieve de la zona, la dificultad para restringir la movilidad de personas, vehiculos y animales. El relieve favorece la erosion y El movimiento de suelo contaminado a otras zonas. Ha pasado previamente con Moko en la zona."
11/3/2023,Pereira,5,2,"2.	El movimiento de plantas contaminadas (material vegetal de siembra o residuos de cultivos) es un factor de riesgo para introducir Foc-R4T a nuevas Ã¡reas.",Muy de acuerdo,"Material de siembra SE mueve libremente en Los territorios, no hay trazabilidad del material registrado y la demanda no SE satisface localmente. No hay planificacion de areas productivas y fluctua mucho con los precios de Venta para consumo director."
